Elapsed time,EKG
00:00:000:000,0
00:00:001:004,0
00:00:002:008,693
00:00:003:008,691
00:00:004:012,691
00:00:005:016,695
00:00:006:020,693
00:00:007:024,697
00:00:008:028,0
00:00:009:032,0
00:00:010:036,0
00:00:011:036,0
00:00:012:040,0
00:00:013:044,0
00:00:014:048,0
00:00:015:048,0
00:00:016:052,0
00:00:017:056,0
00:00:018:060,0
00:00:019:064,0
00:00:020:064,0
00:00:021:068,0
00:00:022:072,691
00:00:023:076,693
00:00:024:080,692
00:00:025:084,692
00:00:026:088,692
00:00:027:092,692
00:00:028:096,0
00:00:029:096,0
00:00:030:096,0
00:00:031:100,0
00:00:032:104,0
00:00:033:108,0
00:00:034:108,0
00:00:035:112,0
00:00:036:116,0
00:00:037:116,0
00:00:038:120,0
00:00:039:120,0
00:00:040:124,0
00:00:041:128,0
00:00:042:132,691
00:00:043:132,699
00:00:044:136,691
00:00:045:140,691
00:00:046:144,0
00:00:047:148,691
00:00:048:152,0
00:00:049:152,0
00:00:050:156,0
00:00:051:160,0
00:00:052:164,0
00:00:053:168,0
00:00:054:172,0
00:00:055:172,0
00:00:056:172,0
00:00:057:172,0
00:00:058:176,0
00:00:059:176,0
00:00:060:180,0
00:00:061:184,0
00:00:062:184,693
00:00:063:188,693
00:00:064:192,697
00:00:065:192,699
00:00:066:196,0
00:00:067:200,694
00:00:068:204,0
00:00:069:208,0
00:00:070:212,0
00:00:071:212,0
00:00:072:216,0
00:00:073:216,0
00:00:074:220,0
00:00:075:224,0
00:00:076:224,0
00:00:077:228,0
00:00:078:228,0
00:00:079:228,0
00:00:080:228,0
00:00:081:232,0
00:00:082:236,691
00:00:083:240,692
00:00:084:240,694
00:00:085:244,693
00:00:086:248,0
00:00:087:252,693
00:00:088:252,0
00:00:089:252,0
00:00:090:256,0
00:00:091:256,0
00:00:092:256,0
00:00:093:260,0
00:00:094:264,0
00:00:095:268,0
00:00:096:272,0
00:00:097:276,0
00:00:098:280,0
00:00:099:284,0
00:00:100:288,0
00:00:101:292,0
00:00:102:296,696
00:00:103:300,692
00:00:104:304,694
00:00:105:308,696
00:00:106:312,0
00:00:107:312,693
00:00:108:312,0
00:00:109:316,0
00:00:110:316,0
00:00:111:328,0
00:00:112:332,0
00:00:113:336,0
00:00:114:336,0
00:00:115:340,0
00:00:116:344,0
00:00:117:348,0
00:00:118:348,0
00:00:119:352,0
00:00:120:352,0
00:00:121:356,0
00:00:122:356,699
00:00:123:356,692
00:00:124:356,691
00:00:125:360,691
00:00:126:364,0
00:00:127:368,691
00:00:128:372,0
00:00:129:376,0
