Elapsed time,EMG
00:00:318:752,551
00:00:319:752,551
00:00:320:752,564
00:00:321:756,561
00:00:322:756,583
00:00:323:760,604
00:00:324:760,555
00:00:325:760,583
00:00:326:760,556
00:00:327:760,547
00:00:328:764,547
00:00:329:764,543
00:00:330:768,541
00:00:331:768,558
00:00:332:772,545
00:00:333:772,556
00:00:334:776,581
00:00:335:776,579
00:00:336:780,594
00:00:337:780,561
00:00:338:784,545
00:00:339:784,583
00:00:340:788,541
00:00:341:788,548
00:00:342:792,571
00:00:343:796,571
00:00:344:796,579
00:00:345:800,585
00:00:346:800,566
00:00:347:804,559
00:00:348:804,541
00:00:349:808,543
00:00:350:812,568
00:00:351:812,541
00:00:352:816,539
00:00:353:820,557
00:00:354:820,553
00:00:355:824,608
00:00:356:828,637
00:00:357:828,603
00:00:358:832,573
00:00:359:832,547
00:00:360:832,540
00:00:361:836,553
00:00:362:836,543
00:00:363:840,560
00:00:364:840,563
00:00:365:844,545
00:00:366:844,590
00:00:367:848,555
00:00:368:848,545
00:00:369:852,551
00:00:370:852,543
00:00:371:856,539
00:00:372:860,549
00:00:373:864,536
00:00:374:864,572
00:00:375:868,572
00:00:376:868,553
00:00:377:868,601
00:00:378:872,605
00:00:379:876,578
00:00:380:876,568
00:00:381:880,566
00:00:382:884,541
00:00:383:884,547
00:00:384:888,540
00:00:385:892,546
00:00:386:896,548
00:00:387:896,545
00:00:388:900,593
00:00:389:904,556
00:00:390:908,556
00:00:391:908,550
00:00:392:912,557
00:00:393:924,535
00:00:394:928,546
00:00:395:928,561
00:00:396:928,566
00:00:397:928,569
00:00:398:928,569
00:00:399:928,606
00:00:400:932,570
00:00:401:932,599
00:00:402:936,559
00:00:403:940,553
00:00:404:940,537
00:00:405:944,541
00:00:406:944,544
00:00:407:948,542
00:00:408:952,550
00:00:409:952,541
00:00:410:956,589
00:00:411:960,588
00:00:412:964,582
00:00:413:964,561
00:00:414:968,565
00:00:415:972,545
00:00:416:972,547
00:00:417:976,564
00:00:418:976,572
00:00:419:980,575
00:00:420:980,590
00:00:421:980,607
00:00:422:984,583
00:00:423:984,579
00:00:424:988,550
00:00:425:988,540
00:00:426:992,543
00:00:427:996,545
00:00:428:996,539
00:00:430:000,541
00:00:431:004,550
00:00:432:008,559
00:00:433:008,600
00:00:434:012,559
00:00:435:016,598
00:00:436:020,543
