Elapsed time,EKG
00:00:318:764,0
00:00:319:768,0
00:00:320:772,0
00:00:321:772,0
00:00:322:772,0
00:00:323:776,0
00:00:324:780,0
00:00:325:784,0
00:00:326:788,0
00:00:327:792,0
00:00:328:796,0
00:00:329:800,0
00:00:330:804,0
00:00:331:808,0
00:00:332:812,0
00:00:333:812,0
00:00:334:816,0
00:00:335:820,0
00:00:336:824,0
00:00:337:828,0
00:00:338:832,0
00:00:339:836,0
00:00:340:840,0
00:00:341:844,0
00:00:342:848,0
00:00:343:852,0
00:00:344:852,0
00:00:345:856,0
00:00:346:860,0
00:00:347:864,0
00:00:348:868,0
00:00:349:872,0
00:00:350:872,0
00:00:351:876,0
00:00:352:880,0
00:00:353:884,0
00:00:354:888,0
00:00:355:892,0
00:00:356:896,0
00:00:357:896,0
00:00:358:896,0
00:00:359:896,0
00:00:360:896,0
00:00:361:896,0
00:00:362:900,0
00:00:363:904,0
00:00:364:908,0
00:00:365:912,0
00:00:366:916,0
00:00:367:920,0
00:00:368:924,0
00:00:369:928,0
00:00:370:928,0
00:00:371:932,0
00:00:372:936,0
00:00:373:940,0
00:00:374:940,0
00:00:375:944,0
00:00:376:948,0
00:00:377:948,0
00:00:378:948,0
00:00:379:952,0
00:00:380:956,0
00:00:381:960,0
00:00:382:960,0
00:00:383:964,0
00:00:384:968,0
00:00:385:972,0
00:00:386:972,0
00:00:387:976,0
00:00:388:980,0
00:00:389:984,0
00:00:390:988,0
00:00:391:992,0
00:00:392:992,0
00:00:393:996,0
00:00:395:000,0
00:00:396:004,0
00:00:397:008,0
00:00:398:012,0
00:00:399:016,0
00:00:400:020,0
00:00:401:024,0
00:00:402:028,0
00:00:403:032,0
00:00:404:036,0
00:00:405:040,0
00:00:406:044,0
00:00:407:044,0
00:00:408:048,0
00:00:409:052,0
00:00:410:056,0
00:00:411:060,0
00:00:412:064,0
00:00:413:068,0
00:00:414:072,0
00:00:415:072,0
00:00:416:076,0
00:00:417:080,0
00:00:418:084,0
00:00:419:084,0
00:00:420:084,0
00:00:421:084,0
00:00:422:088,0
00:00:423:092,0
00:00:424:092,0
00:00:425:092,0
00:00:426:096,0
00:00:427:100,0
00:00:428:104,0
00:00:429:108,0
00:00:430:112,0
00:00:431:116,0
00:00:432:120,0
00:00:433:124,0
00:00:434:128,0
00:00:435:128,0
00:00:436:128,0
00:00:437:128,0
00:00:438:132,0
00:00:439:136,0
00:00:440:140,0
00:00:441:144,0
00:00:442:144,0
00:00:443:148,0
00:00:444:152,0
00:00:445:152,0
00:00:446:156,0
00:00:447:160,0
00:00:448:164,0
00:00:449:168,0
00:00:450:172,0
00:00:451:176,0
00:00:452:180,0
00:00:453:180,0
00:00:454:184,0
00:00:455:184,0
00:00:456:188,0
00:00:457:192,0
00:00:458:192,0
00:00:459:196,0
00:00:460:196,0
00:00:461:196,0
00:00:462:196,0
00:00:463:200,0
00:00:464:200,0
00:00:465:204,0
00:00:466:208,0
00:00:467:212,0
00:00:468:216,0
00:00:469:220,0
00:00:470:224,0
00:00:471:228,0
00:00:472:232,0
00:00:473:236,0
00:00:474:240,0
00:00:475:244,0
00:00:476:244,0
00:00:477:248,0
00:00:478:252,0
00:00:479:256,0
00:00:480:260,0
00:00:481:264,0
00:00:482:268,0
00:00:483:268,0
00:00:484:272,0
00:00:485:276,0
00:00:486:280,0
00:00:487:284,0
00:00:488:288,0
00:00:489:292,0
00:00:490:296,0
00:00:491:296,0
00:00:492:300,0
00:00:493:304,0
00:00:494:308,0
00:00:495:308,0
00:00:496:312,0
00:00:497:316,0
00:00:498:316,0
00:00:499:320,0
00:00:500:324,0
00:00:501:328,0
00:00:502:332,0
00:00:503:336,0
00:00:504:336,0
00:00:505:340,0
00:00:506:344,0
00:00:507:348,0
00:00:508:352,0
00:00:509:352,0
00:00:510:356,0
00:00:511:356,0
00:00:512:356,0
00:00:513:360,0
00:00:514:364,0
00:00:515:368,0
00:00:516:372,0
00:00:517:372,0
00:00:518:372,0
00:00:519:376,0
00:00:520:380,0
00:00:521:384,0
00:00:522:388,0
00:00:523:392,0
00:00:524:396,0
00:00:525:396,0
00:00:526:400,0
00:00:527:404,0
00:00:528:408,0
00:00:529:412,0
00:00:530:412,0
00:00:531:416,0
00:00:532:420,0
00:00:533:424,0
00:00:534:428,0
00:00:535:428,0
00:00:536:432,0
00:00:537:432,0
00:00:538:436,0
00:00:539:440,0
00:00:540:440,0
00:00:541:444,0
00:00:542:444,0
00:00:543:448,0
00:00:544:452,0
00:00:545:456,0
00:00:546:460,0
00:00:547:464,0
00:00:548:468,0
00:00:549:472,0
00:00:550:472,0
00:00:551:476,0
00:00:552:480,0
00:00:553:484,0
00:00:554:488,0
00:00:555:492,0
00:00:556:492,0
00:00:557:496,0
00:00:558:500,0
00:00:559:504,0
00:00:560:508,0
00:00:561:508,0
00:00:562:512,0
00:00:563:516,0
00:00:564:520,0
00:00:565:524,0
00:00:566:528,0
00:00:567:528,0
00:00:568:532,0
00:00:569:536,0
00:00:570:540,0
00:00:571:540,0
00:00:572:544,0
00:00:573:548,0
00:00:574:548,0
00:00:575:552,0
00:00:576:556,0
00:00:577:556,0
00:00:578:560,0
00:00:579:564,0
00:00:580:568,0
00:00:581:568,0
00:00:582:572,0
00:00:583:576,0
00:00:584:580,0
00:00:585:584,0
00:00:586:588,0
00:00:587:592,0
00:00:588:592,0
00:00:589:596,0
00:00:590:600,0
00:00:591:604,0
00:00:592:608,0
00:00:593:612,0
00:00:594:616,0
00:00:595:620,0
00:00:596:624,0
00:00:597:624,0
00:00:598:628,0
00:00:599:632,0
00:00:600:636,0
00:00:601:636,0
00:00:602:640,0
00:00:603:644,0
00:00:604:648,0
00:00:605:648,0
00:00:606:652,0
00:00:607:656,0
00:00:608:660,0
