Elapsed time,EKG
00:00:318:832,343
00:00:319:832,342
00:00:320:836,342
00:00:321:836,341
00:00:322:840,344
00:00:323:844,347
00:00:324:844,350
00:00:325:848,355
00:00:326:852,359
00:00:327:856,363
00:00:328:860,368
00:00:329:860,371
00:00:330:860,371
00:00:331:864,374
00:00:332:864,371
00:00:333:868,371
00:00:334:872,371
00:00:335:876,369
00:00:336:880,367
00:00:337:884,365
00:00:338:888,364
00:00:339:892,368
00:00:340:892,364
00:00:341:896,366
00:00:342:900,372
00:00:343:900,371
00:00:344:900,373
00:00:345:904,376
00:00:346:904,379
00:00:347:908,381
00:00:348:912,381
00:00:349:916,384
00:00:350:920,387
00:00:351:924,384
00:00:352:928,384
00:00:353:932,387
00:00:354:936,383
00:00:355:940,383
00:00:356:940,380
00:00:357:940,379
00:00:358:940,378
00:00:359:940,378
00:00:360:944,381
00:00:361:948,382
00:00:362:948,387
00:00:363:948,389
00:00:364:952,395
00:00:365:952,396
00:00:366:952,399
00:00:367:956,401
00:00:368:956,403
00:00:369:960,406
00:00:370:964,405
00:00:371:968,404
00:00:372:972,402
00:00:373:972,396
00:00:374:972,396
00:00:375:976,390
00:00:376:980,384
00:00:377:984,380
00:00:378:984,378
00:00:379:988,376
00:00:380:992,375
00:00:381:992,374
00:00:382:996,376
00:00:384:000,377
00:00:385:004,378
00:00:386:008,380
00:00:387:012,381
00:00:388:016,383
00:00:389:016,384
00:00:390:020,384
00:00:391:024,382
00:00:392:028,380
00:00:393:032,377
00:00:394:032,374
00:00:395:036,370
00:00:396:036,367
00:00:397:036,362
00:00:398:040,359
00:00:399:044,356
00:00:400:044,358
00:00:401:044,359
00:00:402:044,359
00:00:403:048,361
00:00:404:048,364
00:00:405:048,368
00:00:406:048,374
00:00:407:048,379
00:00:408:052,379
00:00:409:056,383
00:00:410:060,384
00:00:411:064,381
00:00:412:068,381
00:00:413:072,377
00:00:414:076,371
00:00:415:080,366
00:00:416:084,359
00:00:417:084,355
00:00:418:088,355
00:00:419:092,348
00:00:420:096,344
00:00:421:100,344
00:00:422:104,344
00:00:423:108,345
00:00:424:112,348
00:00:425:112,351
00:00:426:116,354
00:00:427:120,359
00:00:428:120,364
00:00:429:120,364
00:00:430:120,367
00:00:431:120,366
00:00:432:120,366
00:00:433:120,367
00:00:434:124,363
00:00:435:124,359
00:00:436:128,356
00:00:437:132,352
00:00:438:132,350
00:00:439:132,350
00:00:440:132,349
00:00:441:136,351
00:00:442:140,352
00:00:443:144,353
00:00:444:144,356
00:00:445:144,359
00:00:446:148,364
00:00:447:152,369
00:00:448:156,370
00:00:449:160,370
00:00:450:164,371
00:00:451:168,370
00:00:452:172,368
00:00:453:176,364
00:00:454:180,365
00:00:455:184,356
00:00:456:188,355
00:00:457:192,349
00:00:458:192,348
00:00:459:192,345
00:00:460:196,347
00:00:461:196,350
00:00:462:196,349
00:00:463:200,353
00:00:464:204,355
00:00:465:208,359
00:00:466:212,365
00:00:467:216,368
00:00:468:216,369
00:00:469:216,371
00:00:470:216,372
00:00:471:220,371
00:00:472:224,370
00:00:473:228,367
00:00:474:232,364
00:00:475:232,359
00:00:476:236,354
00:00:477:240,351
00:00:478:244,349
00:00:479:248,347
00:00:480:252,346
00:00:481:256,346
00:00:482:256,348
00:00:483:256,350
00:00:484:256,353
00:00:485:260,357
00:00:486:264,362
00:00:487:268,368
00:00:488:272,370
00:00:489:276,375
00:00:490:280,376
00:00:491:284,376
00:00:492:288,376
00:00:493:292,376
00:00:494:296,373
00:00:495:296,369
00:00:496:300,368
00:00:497:304,364
00:00:498:308,359
00:00:499:312,359
00:00:500:312,359
00:00:501:312,359
00:00:502:316,361
00:00:503:320,366
00:00:504:324,371
00:00:505:324,376
00:00:506:324,382
00:00:507:328,387
00:00:508:332,391
00:00:509:336,395
00:00:510:336,398
00:00:511:340,399
00:00:512:344,402
00:00:513:348,401
00:00:514:352,403
00:00:515:356,407
00:00:516:360,409
00:00:517:372,412
00:00:518:376,423
00:00:519:380,428
00:00:520:380,434
00:00:521:384,445
00:00:522:384,453
00:00:523:388,465
00:00:524:392,478
00:00:525:396,492
00:00:526:400,504
00:00:527:404,519
00:00:528:408,533
00:00:529:412,548
00:00:530:412,568
00:00:531:416,579
00:00:532:416,590
00:00:533:420,600
00:00:534:420,610
00:00:535:420,624
00:00:536:424,634
00:00:537:424,647
00:00:538:424,661
00:00:539:424,678
00:00:540:424,689
00:00:541:424,699
00:00:542:424,699
00:00:543:424,696
00:00:544:424,699
00:00:545:428,696
00:00:546:432,700
00:00:547:436,696
00:00:548:440,693
00:00:549:444,691
00:00:550:444,684
00:00:551:448,668
00:00:552:452,641
00:00:553:452,623
00:00:554:452,595
00:00:555:456,566
00:00:556:460,538
00:00:557:464,512
00:00:558:468,487
00:00:559:472,468
00:00:560:476,451
00:00:561:480,435
00:00:562:484,431
00:00:563:488,415
00:00:564:492,414
00:00:565:492,405
00:00:566:492,399
00:00:567:496,396
00:00:568:500,388
00:00:569:504,385
00:00:570:504,383
00:00:571:508,377
00:00:572:512,374
00:00:573:512,370
00:00:574:516,367
00:00:575:520,364
00:00:576:520,359
00:00:577:524,359
00:00:578:528,354
00:00:579:532,352
00:00:580:536,350
00:00:581:540,349
00:00:582:544,351
00:00:583:548,353
00:00:584:552,354
00:00:585:556,359
00:00:586:560,358
00:00:587:564,359
00:00:588:568,359
00:00:589:568,359
00:00:590:572,358
00:00:591:576,355
00:00:592:576,353
00:00:593:580,349
00:00:594:580,345
00:00:595:584,342
00:00:596:588,339
00:00:597:588,339
00:00:598:592,332
00:00:599:596,331
00:00:600:596,332
00:00:601:600,333
00:00:602:604,333
00:00:603:604,335
00:00:604:608,338
00:00:605:612,341
00:00:606:616,348
00:00:607:620,347
00:00:608:624,350
00:00:609:628,351
00:00:610:628,352
00:00:611:628,349
00:00:612:628,346
00:00:613:632,344
00:00:614:632,342
00:00:615:636,339
00:00:616:636,338
00:00:617:640,334
00:00:618:644,334
00:00:619:648,332
00:00:620:652,332
00:00:621:652,333
00:00:622:652,334
00:00:623:656,335
00:00:624:656,338
00:00:625:656,341
00:00:626:656,344
00:00:627:656,344
00:00:628:656,347
